ImageNumber,Image_Metadata_Frame,Image_Metadata_Litter,Image_Metadata_Mouse,Image_Metadata_Region,Image_Metadata_Section,Image_Metadata_Series,Image_Metadata_Slide,Image_Count_Cells,Image_Count_Cells_with_nuclei
1,0,Q,Q1,ROb,1,0,1_1,18,17
2,0,Q,Q1,LPGI,2,0,1_1,22,20
3,0,Q,Q1,ROb,2,0,1_1,33,30
4,0,Q,Q1,LPGI,3,0,1_1,22,22
5,0,Q,Q1,RPa,3,0,1_1,42,40
6,0,Q,Q1,LPGI,4,0,1_1,36,32
7,0,Q,Q1,RPa,4,0,1_1,73,68
8,0,Q,Q1,RPa,5,0,1_1,75,70
9,0,Q,Q1,RMn,6,0,1_1,83,81
10,0,Q,Q1,RMn,7,0,1_1,42,39
11,0,Q,Q1,MR,8,0,1_1,86,83
12,0,Q,Q1,RMn,8,0,1_1,33,32
13,0,Q,Q1,MR,1,0,4_2,108,107
14,0,Q,Q1,R4,1,0,4_2,42,39
15,0,Q,Q1,MR,2,0,4_2,127,121
16,0,Q,Q1,R4,2,0,4_2,12,12
17,0,Q,Q1,MR,1,0,6_2,147,132
18,0,Q,Q1,R4,1,0,6_2,28,27
19,0,Q,Q1,R4,2,0,6_2,9,9
20,0,Q,Q3,LPGI,1,0,4_1,24,22
21,0,Q,Q3,ROb,1,0,4_1,45,43
22,0,Q,Q3,LPGI,2,0,4_1,31,29
23,0,Q,Q3,RPa,2,0,4_1,47,43
24,0,Q,Q3,LPGI,3,0,4_1,28,27
25,0,Q,Q3,RPa,3,0,4_1,60,54
26,0,Q,Q3,RPa,4,0,4_1,87,87
27,0,Q,Q3,RMn,5,0,4_1,57,54
28,0,Q,Q3,RMn,6,0,4_1,47,47
29,0,Q,Q3,RMn,7,0,4_1,44,39
30,0,Q,Q3,RMn,8,0,4_1,38,37
31,0,Q,Q3,MR,2,0,5_2,47,46
32,0,Q,Q3,R4,2,0,5_2,35,34
33,0,Q,Q3,MR,3,0,5_2,67,65
34,0,Q,Q3,R4,3,0,5_2,12,11
35,0,Q,Q3,R4,2,0,6_2,26,25
36,0,Q,Q3,MR,3,0,6_2,64,61
37,0,Q,Q3,R4,3,0,6_2,8,8
38,0,Q,Q3,MR,4,0,6_2,105,101
39,0,Q,Q7,MR,1,0,1_3,91,88
40,0,Q,Q7,R4,1,0,1_3,16,16
41,0,Q,Q7,LPGI,1,0,2_2,27,27
42,0,Q,Q7,RPa,1,0,2_2,44,42
43,0,Q,Q7,LPGI,2,0,2_2,32,29
44,0,Q,Q7,RPa,2,0,2_2,42,39
45,0,Q,Q7,RMn,4,0,2_2,69,63
46,0,Q,Q7,RMn,6,0,2_2,44,42
47,0,Q,Q7,MR,8,0,2_2,57,56
48,0,Q,Q7,R4,8,0,2_2,49,49
49,0,Q,Q7,ROb,2,0,3_1,21,19
50,0,Q,Q7,ROb,3,0,3_1,33,32
51,0,Q,Q7,ROb,4,0,3_1,37,36
52,0,Q,Q7,LPGI,8,0,3_1,26,25
53,0,Q,Q7,RPa,8,0,3_1,54,49
54,0,Q,Q7,LPGI,1,0,6_2,32,30
55,0,Q,Q7,RPa,1,0,6_2,43,40
56,0,Q,Q7,RMn,3,0,6_2,74,71
57,0,Q,Q7,RMn,7,0,6_2,48,48
58,0,Q,Q7,MR,8,0,6_2,104,99
59,0,Q,Q7,R4,8,0,6_2,37,37
60,0,Q,Q7,MR,1,0,6_3,72,68
61,0,Q,Q7,R4,1,0,6_3,8,7
62,0,S,S4,ROb,2,0,1_1,21,20
63,0,S,S4,ROb,3,0,1_1,34,33
64,0,S,S4,ROb,4,0,1_1,36,33
65,0,S,S4,ROb,5,0,1_1,35,32
66,0,S,S4,RPa,6,0,1_1,46,45
67,0,S,S4,LPGI,7,0,1_1,22,20
68,0,S,S4,RPa,7,0,1_1,50,49
69,0,S,S4,LPGI,8,0,1_1,37,34
70,0,S,S4,RPa,8,0,1_1,52,51
71,0,S,S4,LPGI,1,0,1_2,28,27
72,0,S,S4,RPa,1,0,1_2,81,78
73,0,S,S4,RMn,5,0,1_2,42,40
74,0,S,S4,RMn,6,0,1_2,31,28
75,0,S,S4,MR,7,0,1_2,38,38
76,0,S,S4,MR,8,0,1_2,55,50
77,0,S,S4,R4,8,0,1_2,9,9
78,0,S,S4,LPGI,1,0,2_2,38,35
79,0,S,S4,RMn,3,0,2_2,49,42
80,0,S,S4,RMn,4,0,2_2,34,29
